0,0,0,0,1,1,20,80,0,30,1,0,0,260,0,0,5,7,2,0,6,0,8,0,0,5,7,0,154,85,0,2,35,112,2,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
0,0,3,2,0,0,0,0,2,1,0,1,9,0,0,0,25,1,0,0,0,2,0,6,4,15,97,3,1,0,4,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,1,1,0,21,0,0,1,0,0,0,1,0,0,2,7,6,11,123,11,1,0,3,0,0,0,4
0,3,0,0,0,1,45,1,3,7,0,1,2,19,0,2,197,4,8,0,72,3,469,3,2,312,311,7,45,58,6,1,0,35,0,9,1,18,3,1,0,0,15,0,0,0,11,0,0,0,0,61,0,0,2,4,1,0,4,0,0,3,2,1,0,3,1,4,3,3,6,58,5,2,13,240,4,4,1,6,0,0,4,3
0,2,0,0,2,13,20,16,4,41,5,41,2,3,2,0,3,3,0,8,0,3,0,29,0,14,7,50,0,0,0,6,0,0,27,0,0,0,0,5,0,0,1,1,0,0,1,0,0,0,0,0,37,0,0,11,11,0,42,1,9,5,3,3,2,0,3,2,22,0,0,1,12,0,3,7,36,2,0,0,0,0,0,30
1,0,0,2,0,31,1,46,7,34,15,31,8,27,8,0,0,21,0,11,1,0,1,8,1,11,4,22,4,2,1,21,0,3,66,7,2,4,2,61,5,2,5,0,0,0,9,0,1,0,0,1,8,6,9,3,14,4,31,4,12,3,4,9,1,0,4,3,5,1,1,1,5,1,2,4,15,6,2,2,4,0,0,141
1,0,1,13,31,0,36,509,41,646,45,258,27,136,83,0,2,43,8,41,0,2,0,33,5,62,21,50,12,3,8,163,0,12,784,16,7,15,2,200,17,11,17,1,2,0,19,1,0,1,0,1,21,5,39,17,86,11,140,7,41,25,3,32,0,0,3,5,16,0,0,1,21,4,8,13,64,7,1,8,6,0,1,261
20,0,45,20,1,36,0,305,10,627,16,20,15,292,0,3,8,31,11,2,338,15,83,304,5,45,33,1048,200,1202,6,27,12,84,38,3,6,36,5,12,2,2,18,2,2,0,3,0,0,1,1,5,10,0,9,144,15,2,23,0,11,4,0,26,3,1,1,6,9,1,2,11,12,1,8,15,140,3,0,2,0,0,1,28
80,0,1,16,46,509,305,0,51,1172,106,592,61,1494,94,1,122,128,98,59,43,7,51,77,11,191,66,144,318,31,18,406,3,277,1147,32,16,44,9,180,11,16,36,3,2,0,52,1,1,0,0,4,35,6,66,24,128,13,264,10,65,26,13,50,5,1,3,10,55,5,0,9,27,4,24,46,128,14,7,12,15,0,5,554
0,2,3,4,7,41,10,51,0,25,13,87,33,10,8,4,4,15,2,15,3,36,0,102,4,23,31,72,3,2,7,26,0,0,123,6,3,0,0,28,4,1,6,1,0,0,17,0,0,0,0,3,15,3,19,14,51,21,64,1,28,15,3,22,13,1,5,3,7,1,3,4,44,2,3,44,78,5,0,14,2,0,2,114
30,1,7,41,34,646,627,1172,25,0,42,551,44,669,25,1,22,76,17,225,6,2,4,62,7,264,91,329,78,42,9,208,0,47,1021,18,2,12,1,36,2,7,15,1,4,1,24,1,0,0,0,5,33,6,31,26,56,12,107,6,38,8,8,33,4,2,5,11,22,0,1,2,13,3,14,15,67,3,6,24,3,0,2,282
1,0,0,5,15,45,16,106,13,42,0,60,121,31,8,0,10,215,60,15,8,4,2,17,8,268,16,33,96,5,27,203,0,208,91,24,5,61,6,34,9,9,8,0,3,0,18,4,1,0,0,3,5,3,14,7,62,7,35,14,18,33,3,14,2,0,1,2,11,0,1,0,12,3,22,28,21,3,0,22,3,0,1,84
