0,0,2,0,0,1,39,103,0,33,12,0,1,279,1,0,0,26,10,0,9,0,1,1,0,16,3,7,81,62,0,10,6,29,3,2,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
0,0,0,0,1,1,0,2,0,1,4,0,13,0,0,2,3,2,1,1,0,1,0,3,1,4,36,6,0,0,8,0,0,1,3,1,1,0,0,0,0,0,2,4,0,0,0,0,0,0,36,7,0,0,0,1,0,0,0,1,0,3,0,0,0,0,2,3,0,1,2,1,3,8,4,168,2,0,0,2,1,0,0,2
2,0,0,1,3,5,68,12,1,35,28,0,10,26,4,1,202,5,14,1,104,0,466,3,1,365,305,27,49,56,4,1,0,41,11,19,3,20,7,6,0,3,21,3,18,3,1,0,0,1,0,75,0,0,0,0,6,0,5,2,0,4,4,0,0,35,11,38,0,0,1,20,1,1,20,63,10,5,1,3,0,0,4,10
0,0,1,0,12,31,18,33,14,70,20,76,5,7,17,4,1,3,3,27,5,6,2,40,1,15,18,181,9,1,2,5,0,6,126,8,8,5,0,21,1,5,9,4,4,0,9,2,0,0,1,1,23,7,32,6,70,3,154,16,15,2,11,4,0,0,7,0,26,1,1,3,35,2,12,23,65,3,0,3,3,0,7,149
0,1,3,12,0,44,2,55,3,21,130,44,22,8,43,0,2,23,3,17,3,0,8,5,5,15,8,39,2,1,3,26,0,12,199,29,2,12,5,101,20,3,11,3,5,0,24,6,0,0,0,6,0,5,20,3,36,1,32,6,8,10,3,14,0,0,4,3,22,0,0,6,7,1,7,21,10,0,3,5,1,0,6,128
1,1,5,31,44,0,46,422,26,362,105,217,58,26,203,7,5,23,18,50,14,6,19,49,7,91,37,180,14,7,7,50,0,17,964,53,12,15,11,287,10,13,37,18,4,2,26,10,1,0,0,4,12,2,81,14,126,11,104,24,40,21,8,12,1,2,21,17,26,10,1,8,46,1,20,71,62,3,1,5,5,0,11,386
39,0,68,18,2,46,0,599,0,1114,31,9,11,491,6,3,16,43,109,0,163,1,114,43,0,692,75,1576,147,911,7,35,5,74,114,28,29,22,2,21,1,3,7,2,5,0,4,4,0,1,0,2,0,0,7,5,14,2,8,2,1,7,1,4,1,1,0,6,0,0,0,5,5,1,6,32,38,2,0,0,0,0,6,23
103,2,12,33,55,422,599,0,12,645,98,123,46,1102,162,2,49,113,73,37,26,6,41,39,5,718,117,215,202,93,6,109,5,73,1110,125,55,67,10,197,8,26,33,13,7,1,34,11,1,0,0,5,15,5,70,12,103,10,103,25,12,27,8,11,0,2,10,18,34,10,1,9,32,2,20,73,70,2,1,6,1,1,9,348
0,0,1,14,3,26,0,12,0,12,21,54,5,1,6,2,1,0,1,26,5,0,2,44,0,8,9,46,0,0,0,2,0,0,74,10,2,0,1,4,0,0,7,2,0,0,8,2,0,0,0,3,5,16,14,8,45,1,42,2,8,5,6,10,3,0,2,2,1,5,0,8,35,0,2,23,34,1,0,4,0,0,1,134
33,1,35,70,21,362,1114,645,12,0,291,226,32,331,92,3,24,50,43,202,10,1,18,81,5,527,197,776,84,54,20,58,1,60,836,31,10,46,18,74,1,15,20,8,7,0,22,13,0,0,0,4,20,8,29,32,86,5,511,12,22,12,17,9,1,0,8,8,34,4,2,17,26,1,16,54,162,7,0,10,4,0,14,296
