0,1,1,0,1,0,29,10,0,28,1,2,2,201,0,0,8,13,12,0,17,0,16,0,0,8,3,0,254,79,0,6,15,66,1,2,1,25,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,1,0,0,0,2
1,0,3,1,0,0,1,0,1,1,0,1,18,1,0,0,7,0,15,0,0,1,2,13,8,48,79,5,6,0,8,2,0,0,2,2,2,1,1,0,2,0,0,6,0,0,0,0,0,0,17,0,0,0,0,3,4,0,1,2,1,8,1,0,4,0,0,4,2,0,0,1,6,5,37,140,6,0,0,10,0,0,0,1
1,3,0,0,1,7,184,122,2,49,4,11,9,87,1,5,210,7,35,1,58,2,190,6,3,433,192,83,58,47,4,10,1,50,14,24,29,48,24,4,0,2,6,4,2,0,2,0,1,0,0,4,0,0,0,2,21,1,11,4,3,4,5,0,0,0,4,7,1,1,0,4,2,0,49,27,2,3,1,2,1,0,0,14
0,1,0,0,5,17,35,24,5,66,3,44,4,11,10,0,1,8,1,44,0,1,0,28,0,5,1,57,4,0,1,10,0,0,20,4,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,4,0,6,20,31,4,40,1,8,4,11,5,0,0,3,15,12,1,0,1,8,0,5,1,22,1,2,0,1,0,0,27
1,0,1,5,0,126,5,71,15,128,27,70,58,18,42,0,3,16,7,11,0,0,3,13,2,26,11,21,11,1,13,66,0,11,309,46,9,24,12,105,21,5,8,13,6,1,18,9,1,0,0,1,3,2,21,13,105,2,53,15,18,18,17,9,0,3,12,18,24,1,0,5,10,5,35,19,11,2,0,4,7,1,6,184
0,0,7,17,126,0,27,676,33,429,40,228,139,173,153,1,22,88,23,25,2,6,16,37,6,102,34,50,68,3,26,281,1,22,762,92,37,72,12,257,43,15,10,12,4,3,24,3,1,0,0,1,12,1,29,49,240,12,172,19,50,27,38,12,6,3,26,54,60,7,0,6,25,4,79,25,85,13,8,11,12,0,9,416
29,1,184,35,5,27,0,367,1,1183,5,15,16,774,4,1,92,26,26,7,880,1,380,99,1,410,17,1476,357,1651,2,36,7,44,56,31,12,25,8,21,3,2,17,2,1,1,6,2,0,0,0,0,0,0,6,44,29,0,29,0,4,2,11,2,0,0,1,3,3,0,0,1,16,0,13,3,29,1,2,1,2,0,2,19
10,0,122,24,71,676,367,0,25,1385,54,322,152,1817,131,2,192,95,46,36,35,2,102,36,4,759,56,53,285,49,40,540,5,90,1215,39,15,97,13,160,26,16,16,20,9,3,30,6,1,0,0,1,13,6,46,54,308,10,262,19,73,25,45,30,3,6,26,87,76,1,0,2,26,6,70,31,50,8,4,9,3,0,4,776
0,1,2,5,15,33,1,25,0,34,0,75,24,7,14,5,3,2,3,24,0,11,2,53,0,10,17,31,2,1,9,19,0,1,115,11,3,5,0,17,3,2,6,6,1,0,13,1,0,0,1,0,6,4,10,13,102,11,65,3,17,12,23,5,4,2,8,16,24,0,1,2,68,0,26,25,50,2,2,3,1,0,2,84
28,1,49,66,128,429,1183,1385,34,0,97,355,188,695,67,2,44,504,109,343,13,1,34,47,5,523,61,433,297,62,43,387,5,104,1161,68,31,162,34,111,32,13,15,11,6,3,21,2,2,0,0,3,15,1,23,63,214,5,297,27,35,29,56,9,1,2,15,40,72,3,0,1,37,6,81,36,146,7,5,14,6,0,5,391
